p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.05E-49,0.579225454,0.963,0.723,1.01E-44,0,LTB
4.77E-47,0.292418742,0.998,0.999,6.85E-43,0,RPL10
9.97E-42,0.269258429,1,0.994,1.43E-37,0,RPS3
2.11E-41,0.432058192,1,0.996,3.04E-37,0,ACTB
2.18E-41,0.836287685,0.405,0.182,3.14E-37,0,TIMP1
1.08E-40,0.570116633,0.927,0.802,1.55E-36,0,S100A10
8.13E-35,0.25972933,0.998,0.995,1.17E-30,0,RPS14
1.40E-34,0.259748407,1,0.996,2.01E-30,0,RPL11
1.93E-34,0.267978832,0.998,0.995,2.77E-30,0,RPS4X
5.88E-34,0.505873476,0.877,0.736,8.45E-30,0,ARHGDIB
6.48E-34,0.539157021,0.851,0.66,9.32E-30,0,CORO1A
2.05E-33,0.273551345,0.997,0.996,2.95E-29,0,RPL34
5.15E-32,0.257025252,0.997,0.992,7.39E-28,0,RPL18
1.04E-29,0.382993048,0.992,0.921,1.50E-25,0,ACTG1
3.47E-29,0.543051786,0.704,0.483,4.99E-25,0,IL7R
2.38E-28,0.41841103,0.941,0.793,3.42E-24,0,MYL12A
3.59E-27,0.71113594,0.691,0.493,5.16E-23,0,S100A4
2.47E-24,0.351956866,0.982,0.926,3.55E-20,0,SH3BGRL3
4.13E-24,0.41753573,0.86,0.681,5.94E-20,0,S100A11
6.56E-24,0.586459897,0.593,0.405,9.43E-20,0,CRIP1
2.48E-23,0.346495068,0.954,0.836,3.56E-19,0,VIM
2.81E-23,0.493653614,0.729,0.557,4.04E-19,0,GSTK1
2.85E-23,0.41895999,0.93,0.844,4.10E-19,0,FXYD5
2.93E-23,0.556927034,0.703,0.546,4.21E-19,0,CD52
3.10E-23,0.273117507,0.991,0.977,4.46E-19,0,RPL3
1.10E-21,0.328264657,0.986,0.959,1.59E-17,0,RPS26
5.43E-21,0.465954734,0.726,0.593,7.81E-17,0,CYBA
9.35E-21,0.279363716,0.968,0.847,1.34E-16,0,IL32
1.42E-20,0.412410946,0.925,0.867,2.05E-16,0,PGK1
3.39E-19,0.540347351,0.192,0.082,4.87E-15,0,PTGER2
7.53E-19,0.592659789,0.639,0.493,1.08E-14,0,DDIT4
7.91E-18,0.474660528,0.491,0.331,1.14E-13,0,FLT3LG
7.98E-17,0.290781035,0.965,0.911,1.15E-12,0,MYL6
9.86E-17,0.285939978,0.898,0.768,1.42E-12,0,S100A6
1.05E-16,0.444063525,0.669,0.537,1.51E-12,0,LAPTM5
4.08E-16,0.572176502,0.451,0.314,5.87E-12,0,CKLF
7.13E-16,0.45669362,0.555,0.403,1.03E-11,0,CISH
1.20E-15,0.657448901,0.241,0.125,1.73E-11,0,GZMA
3.67E-15,0.556341102,0.235,0.123,5.28E-11,0,AQP3
6.73E-15,0.556690869,0.418,0.283,9.68E-11,0,TXNIP
8.44E-15,0.3158067,0.867,0.777,1.21E-10,0,RAC2
1.61E-14,0.343889889,0.642,0.469,2.32E-10,0,ALOX5AP
8.72E-14,0.370793251,0.355,0.219,1.25E-09,0,KLRB1
3.64E-13,0.329576365,0.822,0.713,5.23E-09,0,CLIC1
6.64E-13,0.377624939,0.177,0.086,9.54E-09,0,NCF1
2.06E-11,0.288704238,0.896,0.838,2.97E-07,0,CALM1
2.99E-11,0.371539142,0.268,0.161,4.30E-07,0,CTSH
3.36E-11,0.2714269,0.7,0.533,4.83E-07,0,ANXA1
8.60E-11,0.434213725,0.502,0.4,1.24E-06,0,LCP1
3.02E-10,0.486405421,0.274,0.181,4.33E-06,0,CORO1B
3.98E-10,0.337436069,0.148,0.075,5.71E-06,0,LIME1
9.25E-10,0.362463538,0.343,0.238,1.33E-05,0,SLC2A3
9.59E-10,0.276575932,0.771,0.677,1.38E-05,0,ARPC1B
1.89E-09,0.416701208,0.218,0.131,2.72E-05,0,HOPX
6.16E-09,0.383097927,0.509,0.423,8.86E-05,0,LCK
8.50E-09,0.310804535,0.25,0.158,0.000122184,0,GLIPR1
1.04E-08,0.418164361,0.338,0.247,0.000149881,0,CNN2
1.17E-08,0.306375335,0.419,0.309,0.00016856,0,LGALS1
1.50E-08,0.29454778,0.651,0.587,0.000215107,0,SSR2
1.59E-08,0.392704447,0.279,0.191,0.000227813,0,ACAP1
2.51E-08,0.356308485,0.113,0.056,0.000360432,0,HBEGF
2.51E-08,0.277689406,0.703,0.635,0.000360806,0,CD53
2.61E-08,0.337607171,0.471,0.379,0.000374629,0,CMTM6
4.54E-08,0.378904173,0.384,0.299,0.000652847,0,TPM4
4.79E-08,0.287287958,0.648,0.576,0.000688425,0,NOP53
5.38E-08,0.338337613,0.523,0.431,0.000772507,0,GPSM3
8.20E-08,0.303603429,0.236,0.154,0.001178688,0,GPR65
8.41E-08,0.349710397,0.337,0.249,0.001209068,0,UPP1
1.43E-07,0.322047961,0.512,0.427,0.002051689,0,CD69
2.10E-07,0.372955693,0.367,0.273,0.003019818,0,LGALS3
2.12E-07,0.409652968,0.23,0.159,0.003039895,0,RGS19
9.25E-07,0.3395915,0.259,0.184,0.013290238,0,PDE4D
1.24E-06,0.303304082,0.482,0.408,0.017881304,0,CD63
2.64E-06,0.347608867,0.367,0.298,0.037964971,0,OSTF1
3.51E-06,0.259076373,0.514,0.423,0.050471815,0,GIMAP5
